,mean,sd,hdi_3%,hdi_97%
"chol_corr[15, 36]",-0.01,0.148,-0.271,0.276
"chol_corr[15, 37]",-0.014,0.147,-0.284,0.254
"chol_corr[15, 38]",0.038,0.16,-0.253,0.339
"chol_corr[15, 39]",-0.004,0.152,-0.282,0.28
"chol_corr[16, 0]",-0.052,0.153,-0.326,0.245
"chol_corr[16, 1]",-0.016,0.146,-0.288,0.243
"chol_corr[16, 2]",-0.042,0.146,-0.326,0.223
"chol_corr[16, 3]",-0.017,0.147,-0.299,0.256
"chol_corr[16, 4]",-0.007,0.146,-0.273,0.27
"chol_corr[16, 5]",-0.008,0.146,-0.288,0.264
"chol_corr[16, 6]",-0.01,0.149,-0.272,0.286
"chol_corr[16, 7]",-0.03,0.143,-0.284,0.25
"chol_corr[16, 8]",0.008,0.154,-0.261,0.305
"chol_corr[16, 9]",-0.016,0.152,-0.307,0.258
"chol_corr[16, 10]",-0.019,0.152,-0.31,0.258
"chol_corr[16, 11]",-0.064,0.149,-0.355,0.224
"chol_corr[16, 12]",-0.028,0.152,-0.326,0.253
"chol_corr[16, 13]",-0.017,0.14,-0.281,0.238
"chol_corr[16, 14]",-0.014,0.149,-0.285,0.275
"chol_corr[16, 15]",-0.008,0.153,-0.312,0.264
"chol_corr[16, 16]",1.0,0.0,1.0,1.0
"chol_corr[16, 17]",0.008,0.149,-0.271,0.284
"chol_corr[16, 18]",0.001,0.149,-0.267,0.288
"chol_corr[16, 19]",0.045,0.143,-0.221,0.307
"chol_corr[16, 20]",0.033,0.149,-0.239,0.309
"chol_corr[16, 21]",0.071,0.154,-0.218,0.354
"chol_corr[16, 22]",-0.044,0.143,-0.305,0.236
"chol_corr[16, 23]",-0.077,0.162,-0.382,0.216
"chol_corr[16, 24]",-0.046,0.141,-0.31,0.218
"chol_corr[16, 25]",0.133,0.142,-0.148,0.392
"chol_corr[16, 26]",0.034,0.154,-0.248,0.329
"chol_corr[16, 27]",0.126,0.148,-0.138,0.406
"chol_corr[16, 28]",0.008,0.152,-0.263,0.297
"chol_corr[16, 29]",-0.008,0.155,-0.286,0.298
"chol_corr[16, 30]",-0.133,0.145,-0.392,0.148
"chol_corr[16, 31]",-0.069,0.143,-0.332,0.197
"chol_corr[16, 32]",-0.074,0.14,-0.322,0.194
"chol_corr[16, 33]",-0.131,0.142,-0.399,0.13
"chol_corr[16, 34]",-0.11,0.148,-0.378,0.164
"chol_corr[16, 35]",0.055,0.147,-0.214,0.332
"chol_corr[16, 36]",0.098,0.141,-0.157,0.373
"chol_corr[16, 37]",-0.103,0.15,-0.384,0.168
"chol_corr[16, 38]",-0.018,0.144,-0.286,0.245
"chol_corr[16, 39]",0.023,0.151,-0.276,0.292
"chol_corr[17, 0]",0.038,0.154,-0.244,0.315
"chol_corr[17, 1]",0.074,0.15,-0.204,0.345
"chol_corr[17, 2]",0.044,0.148,-0.239,0.318
"chol_corr[17, 3]",-0.004,0.157,-0.299,0.289
"chol_corr[17, 4]",0.003,0.146,-0.26,0.279
"chol_corr[17, 5]",0.08,0.152,-0.217,0.347
"chol_corr[17, 6]",-0.031,0.148,-0.302,0.258
"chol_corr[17, 7]",-0.042,0.148,-0.327,0.22
"chol_corr[17, 8]",0.026,0.152,-0.262,0.306
"chol_corr[17, 9]",0.006,0.157,-0.274,0.309
"chol_corr[17, 10]",-0.058,0.148,-0.353,0.202
"chol_corr[17, 11]",-0.099,0.159,-0.406,0.192
"chol_corr[17, 12]",-0.09,0.156,-0.37,0.218
"chol_corr[17, 13]",-0.075,0.149,-0.357,0.197
"chol_corr[17, 14]",0.054,0.154,-0.267,0.313
"chol_corr[17, 15]",0.021,0.154,-0.273,0.302
"chol_corr[17, 16]",0.008,0.149,-0.271,0.284
"chol_corr[17, 17]",1.0,0.0,1.0,1.0
"chol_corr[17, 18]",-0.033,0.153,-0.317,0.259
"chol_corr[17, 19]",0.047,0.151,-0.239,0.324
"chol_corr[17, 20]",0.008,0.151,-0.272,0.297
"chol_corr[17, 21]",-0.003,0.153,-0.294,0.281
"chol_corr[17, 22]",-0.044,0.151,-0.321,0.238
"chol_corr[17, 23]",-0.006,0.156,-0.292,0.296
"chol_corr[17, 24]",-0.069,0.144,-0.344,0.187
"chol_corr[17, 25]",-0.093,0.151,-0.375,0.193
"chol_corr[17, 26]",0.009,0.151,-0.255,0.31
"chol_corr[17, 27]",0.005,0.148,-0.259,0.291
"chol_corr[17, 28]",-0.026,0.152,-0.294,0.279
"chol_corr[17, 29]",0.005,0.149,-0.295,0.26
"chol_corr[17, 30]",-0.095,0.148,-0.359,0.199
"chol_corr[17, 31]",-0.071,0.146,-0.334,0.206
"chol_corr[17, 32]",-0.013,0.147,-0.291,0.259
"chol_corr[17, 33]",-0.041,0.151,-0.328,0.244
"chol_corr[17, 34]",0.032,0.149,-0.232,0.323
"chol_corr[17, 35]",-0.015,0.148,-0.298,0.255
"chol_corr[17, 36]",-0.015,0.149,-0.286,0.264
"chol_corr[17, 37]",0.005,0.151,-0.27,0.295
"chol_corr[17, 38]",0.081,0.148,-0.195,0.355
"chol_corr[17, 39]",0.024,0.148,-0.262,0.292
"chol_corr[18, 0]",0.008,0.148,-0.269,0.288
"chol_corr[18, 1]",0.019,0.153,-0.254,0.313
"chol_corr[18, 2]",-0.009,0.152,-0.292,0.264
"chol_corr[18, 3]",-0.009,0.152,-0.284,0.276
"chol_corr[18, 4]",-0.013,0.151,-0.29,0.27
"chol_corr[18, 5]",-0.01,0.148,-0.287,0.26
"chol_corr[18, 6]",-0.001,0.148,-0.28,0.284
"chol_corr[18, 7]",0.0,0.149,-0.297,0.255
"chol_corr[18, 8]",0.002,0.149,-0.278,0.274
"chol_corr[18, 9]",0.002,0.152,-0.285,0.281
"chol_corr[18, 10]",0.017,0.151,-0.257,0.305
"chol_corr[18, 11]",-0.008,0.147,-0.284,0.263
"chol_corr[18, 12]",0.0,0.15,-0.305,0.255
"chol_corr[18, 13]",0.017,0.15,-0.251,0.296
"chol_corr[18, 14]",0.002,0.154,-0.27,0.298
"chol_corr[18, 15]",-0.005,0.152,-0.289,0.269
"chol_corr[18, 16]",0.001,0.149,-0.267,0.288
"chol_corr[18, 17]",-0.033,0.153,-0.317,0.259
"chol_corr[18, 18]",1.0,0.0,1.0,1.0
"chol_corr[18, 19]",0.009,0.152,-0.277,0.283
"chol_corr[18, 20]",-0.003,0.148,-0.288,0.267
"chol_corr[18, 21]",-0.002,0.152,-0.287,0.279
"chol_corr[18, 22]",-0.022,0.151,-0.284,0.278
"chol_corr[18, 23]",-0.009,0.151,-0.283,0.272
"chol_corr[18, 24]",-0.008,0.155,-0.291,0.289
"chol_corr[18, 25]",0.01,0.145,-0.271,0.276
"chol_corr[18, 26]",-0.001,0.15,-0.285,0.271
"chol_corr[18, 27]",0.05,0.151,-0.231,0.332
"chol_corr[18, 28]",-0.005,0.148,-0.267,0.281
"chol_corr[18, 29]",-0.002,0.151,-0.283,0.276
"chol_corr[18, 30]",-0.008,0.15,-0.286,0.278
"chol_corr[18, 31]",0.002,0.152,-0.271,0.291
"chol_corr[18, 32]",-0.021,0.149,-0.313,0.242
"chol_corr[18, 33]",-0.014,0.148,-0.298,0.249
"chol_corr[18, 34]",-0.026,0.153,-0.296,0.277
"chol_corr[18, 35]",0.017,0.151,-0.249,0.314
"chol_corr[18, 36]",0.019,0.151,-0.254,0.314
"chol_corr[18, 37]",-0.006,0.152,-0.295,0.275
"chol_corr[18, 38]",-0.015,0.153,-0.286,0.281
"chol_corr[18, 39]",-0.007,0.15,-0.281,0.283
"chol_corr[19, 0]",0.002,0.152,-0.284,0.272
"chol_corr[19, 1]",0.09,0.142,-0.174,0.373
"chol_corr[19, 2]",0.019,0.144,-0.239,0.296
"chol_corr[19, 3]",-0.026,0.151,-0.311,0.25
"chol_corr[19, 4]",0.045,0.148,-0.239,0.315
"chol_corr[19, 5]",0.072,0.139,-0.195,0.316
"chol_corr[19, 6]",-0.071,0.144,-0.343,0.193
"chol_corr[19, 7]",-0.11,0.142,-0.374,0.16
"chol_corr[19, 8]",0.029,0.157,-0.266,0.311
"chol_corr[19, 9]",0.024,0.146,-0.249,0.297
"chol_corr[19, 10]",-0.06,0.145,-0.329,0.215
"chol_corr[19, 11]",-0.101,0.143,-0.362,0.176
"chol_corr[19, 12]",-0.083,0.145,-0.357,0.182
"chol_corr[19, 13]",-0.045,0.146,-0.304,0.235
"chol_corr[19, 14]",0.038,0.153,-0.251,0.323
"chol_corr[19, 15]",0.017,0.151,-0.286,0.28
"chol_corr[19, 16]",0.045,0.143,-0.221,0.307
"chol_corr[19, 17]",0.047,0.151,-0.239,0.324
"chol_corr[19, 18]",0.009,0.152,-0.277,0.283
"chol_corr[19, 19]",1.0,0.0,1.0,1.0
"chol_corr[19, 20]",-0.046,0.151,-0.341,0.223
"chol_corr[19, 21]",0.037,0.149,-0.229,0.325
"chol_corr[19, 22]",-0.063,0.144,-0.327,0.207
"chol_corr[19, 23]",-0.02,0.149,-0.293,0.27
"chol_corr[19, 24]",-0.068,0.145,-0.334,0.211
"chol_corr[19, 25]",-0.016,0.13,-0.269,0.214
"chol_corr[19, 26]",0.033,0.154,-0.262,0.302
"chol_corr[19, 27]",0.036,0.137,-0.211,0.297
"chol_corr[19, 28]",-0.045,0.146,-0.306,0.249
"chol_corr[19, 29]",-0.01,0.149,-0.28,0.273
"chol_corr[19, 30]",-0.034,0.142,-0.312,0.218
"chol_corr[19, 31]",-0.028,0.144,-0.311,0.233
"chol_corr[19, 32]",-0.044,0.14,-0.298,0.228
"chol_corr[19, 33]",-0.053,0.134,-0.305,0.211
"chol_corr[19, 34]",-0.075,0.143,-0.355,0.185
"chol_corr[19, 35]",0.016,0.144,-0.242,0.286
"chol_corr[19, 36]",0.08,0.141,-0.188,0.337
"chol_corr[19, 37]",-0.033,0.143,-0.301,0.241
"chol_corr[19, 38]",0.114,0.152,-0.171,0.405
"chol_corr[19, 39]",0.011,0.153,-0.295,0.284
"chol_corr[20, 0]",-0.009,0.146,-0.294,0.255
"chol_corr[20, 1]",0.006,0.147,-0.278,0.27
"chol_corr[20, 2]",0.018,0.152,-0.286,0.292
"chol_corr[20, 3]",-0.007,0.149,-0.289,0.272
"chol_corr[20, 4]",0.001,0.157,-0.287,0.3
"chol_corr[20, 5]",0.01,0.152,-0.296,0.282
"chol_corr[20, 6]",-0.003,0.155,-0.296,0.276
"chol_corr[20, 7]",0.001,0.146,-0.283,0.267
"chol_corr[20, 8]",0.014,0.15,-0.251,0.306
"chol_corr[20, 9]",0.01,0.153,-0.285,0.287
"chol_corr[20, 10]",0.054,0.158,-0.242,0.351
"chol_corr[20, 11]",-0.022,0.148,-0.295,0.264
"chol_corr[20, 12]",-0.016,0.149,-0.296,0.248
"chol_corr[20, 13]",-0.023,0.152,-0.308,0.254
"chol_corr[20, 14]",-0.003,0.151,-0.287,0.272
"chol_corr[20, 15]",-0.012,0.157,-0.315,0.273
"chol_corr[20, 16]",0.033,0.149,-0.239,0.309
"chol_corr[20, 17]",0.008,0.151,-0.272,0.297
"chol_corr[20, 18]",-0.003,0.148,-0.288,0.267
"chol_corr[20, 19]",-0.046,0.151,-0.341,0.223
"chol_corr[20, 20]",1.0,0.0,1.0,1.0
"chol_corr[20, 21]",-0.013,0.15,-0.28,0.278
"chol_corr[20, 22]",-0.03,0.148,-0.301,0.253
"chol_corr[20, 23]",0.002,0.147,-0.266,0.279
"chol_corr[20, 24]",-0.013,0.15,-0.3,0.256
"chol_corr[20, 25]",0.01,0.15,-0.256,0.3
"chol_corr[20, 26]",0.013,0.149,-0.259,0.301
"chol_corr[20, 27]",-0.035,0.154,-0.312,0.252
"chol_corr[20, 28]",-0.005,0.151,-0.29,0.282
"chol_corr[20, 29]",0.013,0.147,-0.259,0.291
"chol_corr[20, 30]",0.018,0.147,-0.274,0.276
"chol_corr[20, 31]",-0.004,0.144,-0.283,0.265
"chol_corr[20, 32]",0.029,0.148,-0.239,0.305
"chol_corr[20, 33]",0.001,0.146,-0.27,0.262
"chol_corr[20, 34]",-0.053,0.156,-0.337,0.238
"chol_corr[20, 35]",0.031,0.153,-0.253,0.316
"chol_corr[20, 36]",-0.02,0.153,-0.32,0.245
"chol_corr[20, 37]",-0.019,0.154,-0.292,0.276
"chol_corr[20, 38]",0.034,0.15,-0.255,0.302
"chol_corr[20, 39]",0.0,0.149,-0.27,0.284
"chol_corr[21, 0]",0.004,0.145,-0.27,0.269
"chol_corr[21, 1]",0.067,0.144,-0.192,0.336
"chol_corr[21, 2]",0.002,0.155,-0.28,0.301
"chol_corr[21, 3]",-0.01,0.15,-0.296,0.263
"chol_corr[21, 4]",-0.005,0.152,-0.302,0.277
"chol_corr[21, 5]",0.064,0.145,-0.192,0.347
"chol_corr[21, 6]",-0.042,0.154,-0.325,0.268
"chol_corr[21, 7]",-0.081,0.147,-0.341,0.204
"chol_corr[21, 8]",0.037,0.15,-0.259,0.305
"chol_corr[21, 9]",-0.026,0.158,-0.321,0.26
"chol_corr[21, 10]",-0.028,0.153,-0.325,0.249
"chol_corr[21, 11]",-0.088,0.148,-0.379,0.181
"chol_corr[21, 12]",-0.096,0.149,-0.369,0.189
"chol_corr[21, 13]",-0.03,0.145,-0.315,0.227
"chol_corr[21, 14]",-0.01,0.149,-0.288,0.266
"chol_corr[21, 15]",0.0,0.148,-0.286,0.269
"chol_corr[21, 16]",0.071,0.154,-0.218,0.354
"chol_corr[21, 17]",-0.003,0.153,-0.294,0.281
"chol_corr[21, 18]",-0.002,0.152,-0.287,0.279
"chol_corr[21, 19]",0.037,0.149,-0.229,0.325
"chol_corr[21, 20]",-0.013,0.15,-0.28,0.278
"chol_corr[21, 21]",1.0,0.0,1.0,1.0
"chol_corr[21, 22]",-0.037,0.147,-0.331,0.217
"chol_corr[21, 23]",-0.052,0.158,-0.333,0.258
"chol_corr[21, 24]",-0.025,0.142,-0.296,0.227
"chol_corr[21, 25]",0.002,0.142,-0.261,0.257
"chol_corr[21, 26]",0.012,0.152,-0.271,0.294
"chol_corr[21, 27]",0.154,0.146,-0.117,0.426
"chol_corr[21, 28]",-0.031,0.151,-0.322,0.235
"chol_corr[21, 29]",-0.004,0.15,-0.29,0.283
"chol_corr[21, 30]",-0.161,0.157,-0.444,0.143
"chol_corr[21, 31]",-0.045,0.146,-0.329,0.202
"chol_corr[21, 32]",-0.111,0.144,-0.377,0.148
"chol_corr[21, 33]",-0.126,0.147,-0.405,0.149
"chol_corr[21, 34]",-0.04,0.144,-0.301,0.239
"chol_corr[21, 35]",0.028,0.152,-0.254,0.315
"chol_corr[21, 36]",0.074,0.148,-0.199,0.356
"chol_corr[21, 37]",-0.096,0.153,-0.378,0.184
"chol_corr[21, 38]",-0.009,0.143,-0.274,0.252
"chol_corr[21, 39]",0.018,0.154,-0.253,0.322
"chol_corr[22, 0]",-0.057,0.152,-0.332,0.236
"chol_corr[22, 1]",-0.083,0.145,-0.366,0.178
"chol_corr[22, 2]",-0.015,0.147,-0.289,0.263
"chol_corr[22, 3]",0.058,0.156,-0.239,0.337
"chol_corr[22, 4]",-0.015,0.147,-0.309,0.245
"chol_corr[22, 5]",-0.071,0.142,-0.346,0.191
"chol_corr[22, 6]",-0.022,0.146,-0.303,0.246
"chol_corr[22, 7]",0.08,0.14,-0.176,0.347
"chol_corr[22, 8]",-0.011,0.147,-0.276,0.278
"chol_corr[22, 9]",0.017,0.149,-0.284,0.274
"chol_corr[22, 10]",-0.007,0.151,-0.29,0.276
"chol_corr[22, 11]",0.046,0.145,-0.212,0.332
"chol_corr[22, 12]",0.05,0.15,-0.211,0.35
"chol_corr[22, 13]",0.031,0.143,-0.225,0.303
"chol_corr[22, 14]",-0.042,0.152,-0.302,0.26
"chol_corr[22, 15]",0.012,0.149,-0.259,0.29
"chol_corr[22, 16]",-0.044,0.143,-0.305,0.236
"chol_corr[22, 17]",-0.044,0.151,-0.321,0.238
"chol_corr[22, 18]",-0.022,0.151,-0.284,0.278
"chol_corr[22, 19]",-0.063,0.144,-0.327,0.207
"chol_corr[22, 20]",-0.03,0.148,-0.301,0.253
"chol_corr[22, 21]",-0.037,0.147,-0.331,0.217
"chol_corr[22, 22]",1.0,0.0,1.0,1.0
"chol_corr[22, 23]",0.028,0.15,-0.257,0.306
"chol_corr[22, 24]",0.153,0.159,-0.16,0.431
"chol_corr[22, 25]",-0.007,0.137,-0.268,0.247
"chol_corr[22, 26]",0.006,0.149,-0.261,0.303
"chol_corr[22, 27]",-0.159,0.14,-0.413,0.114
"chol_corr[22, 28]",0.065,0.151,-0.198,0.365
"chol_corr[22, 29]",0.012,0.151,-0.271,0.286
"chol_corr[22, 30]",0.04,0.142,-0.235,0.294
"chol_corr[22, 31]",0.077,0.144,-0.175,0.357
"chol_corr[22, 32]",0.02,0.135,-0.22,0.282
"chol_corr[22, 33]",0.087,0.141,-0.182,0.349
"chol_corr[22, 34]",0.017,0.144,-0.272,0.275
"chol_corr[22, 35]",-0.088,0.148,-0.357,0.195
"chol_corr[22, 36]",-0.076,0.143,-0.34,0.194
"chol_corr[22, 37]",0.048,0.148,-0.229,0.33
"chol_corr[22, 38]",-0.076,0.14,-0.334,0.181
"chol_corr[22, 39]",-0.02,0.152,-0.304,0.272
"chol_corr[23, 0]",0.023,0.156,-0.271,0.308
"chol_corr[23, 1]",0.054,0.153,-0.22,0.35
"chol_corr[23, 2]",0.013,0.151,-0.274,0.29
"chol_corr[23, 3]",0.005,0.15,-0.307,0.256
"chol_corr[23, 4]",0.008,0.152,-0.288,0.29
"chol_corr[23, 5]",0.023,0.155,-0.268,0.309
"chol_corr[23, 6]",-0.015,0.152,-0.3,0.258
"chol_corr[23, 7]",-0.003,0.145,-0.279,0.255
"chol_corr[23, 8]",-0.006,0.144,-0.28,0.246
"chol_corr[23, 9]",0.011,0.152,-0.276,0.303
"chol_corr[23, 10]",-0.018,0.147,-0.286,0.259
"chol_corr[23, 11]",-0.009,0.151,-0.315,0.245
"chol_corr[23, 12]",0.003,0.152,-0.28,0.288
"chol_corr[23, 13]",-0.044,0.145,-0.294,0.245
"chol_corr[23, 14]",0.013,0.154,-0.263,0.308
"chol_corr[23, 15]",0.02,0.148,-0.268,0.294
"chol_corr[23, 16]",-0.077,0.162,-0.382,0.216
"chol_corr[23, 17]",-0.006,0.156,-0.292,0.296
"chol_corr[23, 18]",-0.009,0.151,-0.283,0.272
"chol_corr[23, 19]",-0.02,0.149,-0.293,0.27
"chol_corr[23, 20]",0.002,0.147,-0.266,0.279
"chol_corr[23, 21]",-0.052,0.158,-0.333,0.258
"chol_corr[23, 22]",0.028,0.15,-0.257,0.306
"chol_corr[23, 23]",1.0,0.0,1.0,1.0
"chol_corr[23, 24]",0.01,0.152,-0.302,0.271
"chol_corr[23, 25]",-0.098,0.15,-0.383,0.182
"chol_corr[23, 26]",-0.006,0.152,-0.289,0.272
"chol_corr[23, 27]",-0.045,0.151,-0.332,0.233
"chol_corr[23, 28]",-0.0,0.148,-0.266,0.281
"chol_corr[23, 29]",0.01,0.153,-0.276,0.291
"chol_corr[23, 30]",0.031,0.152,-0.243,0.323
"chol_corr[23, 31]",0.042,0.15,-0.255,0.3
"chol_corr[23, 32]",0.086,0.152,-0.209,0.351
"chol_corr[23, 33]",0.097,0.156,-0.192,0.388
"chol_corr[23, 34]",0.074,0.156,-0.229,0.365
"chol_corr[23, 35]",-0.027,0.152,-0.324,0.238
"chol_corr[23, 36]",-0.082,0.155,-0.399,0.191
"chol_corr[23, 37]",0.073,0.158,-0.208,0.377
"chol_corr[23, 38]",0.023,0.152,-0.239,0.321
"chol_corr[23, 39]",-0.025,0.154,-0.317,0.25
"chol_corr[24, 0]",-0.043,0.15,-0.32,0.239
"chol_corr[24, 1]",-0.084,0.144,-0.368,0.173
"chol_corr[24, 2]",-0.025,0.148,-0.306,0.246
"chol_corr[24, 3]",0.036,0.147,-0.228,0.322
"chol_corr[24, 4]",-0.016,0.157,-0.302,0.294
"chol_corr[24, 5]",-0.131,0.141,-0.413,0.115
"chol_corr[24, 6]",-0.049,0.149,-0.321,0.231
"chol_corr[24, 7]",0.066,0.141,-0.21,0.32
"chol_corr[24, 8]",-0.002,0.158,-0.297,0.285
"chol_corr[24, 9]",0.009,0.154,-0.275,0.298
"chol_corr[24, 10]",0.022,0.151,-0.242,0.317
"chol_corr[24, 11]",0.028,0.143,-0.243,0.292
"chol_corr[24, 12]",0.088,0.152,-0.209,0.358
"chol_corr[24, 13]",0.053,0.136,-0.2,0.312
"chol_corr[24, 14]",-0.048,0.145,-0.311,0.237
"chol_corr[24, 15]",-0.019,0.155,-0.305,0.27
"chol_corr[24, 16]",-0.046,0.141,-0.31,0.218
"chol_corr[24, 17]",-0.069,0.144,-0.344,0.187
"chol_corr[24, 18]",-0.008,0.155,-0.291,0.289
"chol_corr[24, 19]",-0.068,0.145,-0.334,0.211
"chol_corr[24, 20]",-0.013,0.15,-0.3,0.256
"chol_corr[24, 21]",-0.025,0.142,-0.296,0.227
"chol_corr[24, 22]",0.153,0.159,-0.16,0.431
"chol_corr[24, 23]",0.01,0.152,-0.302,0.271
"chol_corr[24, 24]",1.0,0.0,1.0,1.0
"chol_corr[24, 25]",0.045,0.127,-0.188,0.284
"chol_corr[24, 26]",0.017,0.148,-0.274,0.267
"chol_corr[24, 27]",-0.001,0.133,-0.268,0.23
"chol_corr[24, 28]",0.135,0.162,-0.163,0.43
"chol_corr[24, 29]",0.034,0.153,-0.249,0.331
"chol_corr[24, 30]",0.02,0.137,-0.247,0.26
"chol_corr[24, 31]",0.123,0.142,-0.158,0.374
"chol_corr[24, 32]",0.066,0.132,-0.166,0.327
"chol_corr[24, 33]",0.066,0.135,-0.179,0.323
"chol_corr[24, 34]",0.06,0.14,-0.21,0.312
"chol_corr[24, 35]",-0.005,0.145,-0.259,0.278
"chol_corr[24, 36]",-0.088,0.143,-0.345,0.193
"chol_corr[24, 37]",0.042,0.142,-0.218,0.308
"chol_corr[24, 38]",-0.093,0.139,-0.359,0.154
"chol_corr[24, 39]",-0.019,0.156,-0.322,0.264
"chol_corr[25, 0]",-0.063,0.139,-0.328,0.193
"chol_corr[25, 1]",-0.194,0.129,-0.446,0.042
"chol_corr[25, 2]",-0.082,0.147,-0.339,0.207
"chol_corr[25, 3]",0.013,0.152,-0.277,0.287
"chol_corr[25, 4]",-0.04,0.147,-0.319,0.231
"chol_corr[25, 5]",-0.115,0.13,-0.367,0.121
"chol_corr[25, 6]",0.091,0.138,-0.173,0.338
"chol_corr[25, 7]",0.079,0.13,-0.181,0.317
"chol_corr[25, 8]",0.008,0.146,-0.269,0.275
"chol_corr[25, 9]",-0.044,0.149,-0.302,0.254
"chol_corr[25, 10]",0.108,0.141,-0.157,0.358
"chol_corr[25, 11]",-0.018,0.14,-0.283,0.245
"chol_corr[25, 12]",-0.017,0.139,-0.282,0.235
"chol_corr[25, 13]",0.093,0.133,-0.163,0.338
"chol_corr[25, 14]",-0.081,0.146,-0.347,0.202
"chol_corr[25, 15]",-0.032,0.142,-0.289,0.235
"chol_corr[25, 16]",0.133,0.142,-0.148,0.392
"chol_corr[25, 17]",-0.093,0.151,-0.375,0.193
"chol_corr[25, 18]",0.01,0.145,-0.271,0.276
"chol_corr[25, 19]",-0.016,0.13,-0.269,0.214
"chol_corr[25, 20]",0.01,0.15,-0.256,0.3
"chol_corr[25, 21]",0.002,0.142,-0.261,0.257
"chol_corr[25, 22]",-0.007,0.137,-0.268,0.247
"chol_corr[25, 23]",-0.098,0.15,-0.383,0.182
"chol_corr[25, 24]",0.045,0.127,-0.188,0.284
"chol_corr[25, 25]",1.0,0.0,1.0,1.0
"chol_corr[25, 26]",0.067,0.151,-0.209,0.352
"chol_corr[25, 27]",0.199,0.126,-0.041,0.432
"chol_corr[25, 28]",0.099,0.145,-0.18,0.368
"chol_corr[25, 29]",-0.005,0.147,-0.286,0.262
"chol_corr[25, 30]",-0.139,0.134,-0.388,0.109
"chol_corr[25, 31]",-0.101,0.132,-0.333,0.159
"chol_corr[25, 32]",-0.303,0.126,-0.532,-0.072
"chol_corr[25, 33]",-0.432,0.126,-0.658,-0.194
"chol_corr[25, 34]",-0.18,0.131,-0.412,0.063
"chol_corr[25, 35]",0.101,0.138,-0.148,0.376
"chol_corr[25, 36]",0.249,0.127,0.01,0.487
"chol_corr[25, 37]",-0.19,0.149,-0.458,0.097
"chol_corr[25, 38]",-0.143,0.131,-0.386,0.102
"chol_corr[25, 39]",0.048,0.149,-0.242,0.322
"chol_corr[26, 0]",-0.032,0.149,-0.302,0.257
"chol_corr[26, 1]",-0.016,0.143,-0.275,0.252
"chol_corr[26, 2]",-0.01,0.151,-0.292,0.261
"chol_corr[26, 3]",0.008,0.15,-0.25,0.314
"chol_corr[26, 4]",0.009,0.153,-0.268,0.307
"chol_corr[26, 5]",-0.015,0.149,-0.294,0.272
"chol_corr[26, 6]",-0.02,0.144,-0.288,0.249
"chol_corr[26, 7]",-0.026,0.145,-0.288,0.252
"chol_corr[26, 8]",0.016,0.152,-0.292,0.276
"chol_corr[26, 9]",0.008,0.151,-0.305,0.274
"chol_corr[26, 10]",0.012,0.148,-0.259,0.292
"chol_corr[26, 11]",-0.03,0.152,-0.299,0.276
"chol_corr[26, 12]",-0.026,0.153,-0.324,0.244
"chol_corr[26, 13]",0.038,0.151,-0.241,0.325
"chol_corr[26, 14]",-0.007,0.149,-0.286,0.266
"chol_corr[26, 15]",0.006,0.153,-0.286,0.277
"chol_corr[26, 16]",0.034,0.154,-0.248,0.329
"chol_corr[26, 17]",0.009,0.151,-0.255,0.31
"chol_corr[26, 18]",-0.001,0.15,-0.285,0.271
"chol_corr[26, 19]",0.033,0.154,-0.262,0.302
"chol_corr[26, 20]",0.013,0.149,-0.259,0.301
"chol_corr[26, 21]",0.012,0.152,-0.271,0.294
"chol_corr[26, 22]",0.006,0.149,-0.261,0.303
"chol_corr[26, 23]",-0.006,0.152,-0.289,0.272
"chol_corr[26, 24]",0.017,0.148,-0.274,0.267
"chol_corr[26, 25]",0.067,0.151,-0.209,0.352
"chol_corr[26, 26]",1.0,0.0,1.0,1.0
"chol_corr[26, 27]",0.018,0.15,-0.274,0.294
"chol_corr[26, 28]",0.023,0.153,-0.272,0.304
"chol_corr[26, 29]",0.005,0.148,-0.258,0.295
"chol_corr[26, 30]",-0.061,0.15,-0.328,0.234
"chol_corr[26, 31]",0.019,0.15,-0.25,0.304
"chol_corr[26, 32]",-0.009,0.147,-0.286,0.266
"chol_corr[26, 33]",-0.039,0.15,-0.314,0.25
"chol_corr[26, 34]",-0.051,0.152,-0.354,0.214
"chol_corr[26, 35]",0.027,0.151,-0.252,0.303
"chol_corr[26, 36]",0.055,0.152,-0.234,0.343
"chol_corr[26, 37]",-0.024,0.155,-0.327,0.249
"chol_corr[26, 38]",0.019,0.147,-0.262,0.283
"chol_corr[26, 39]",0.001,0.155,-0.305,0.282
"chol_corr[27, 0]",0.003,0.143,-0.255,0.291
"chol_corr[27, 1]",0.105,0.134,-0.146,0.356
"chol_corr[27, 2]",-0.042,0.144,-0.299,0.234
"chol_corr[27, 3]",-0.04,0.156,-0.352,0.237
"chol_corr[27, 4]",0.001,0.154,-0.288,0.291
"chol_corr[27, 5]",0.013,0.13,-0.231,0.25
"chol_corr[27, 6]",0.012,0.142,-0.247,0.287
"chol_corr[27, 7]",-0.067,0.137,-0.324,0.183
"chol_corr[27, 8]",0.031,0.142,-0.213,0.317
"chol_corr[27, 9]",-0.056,0.149,-0.319,0.233
"chol_corr[27, 10]",-0.001,0.134,-0.252,0.248
"chol_corr[27, 11]",-0.044,0.146,-0.314,0.235
"chol_corr[27, 12]",-0.035,0.146,-0.34,0.211
"chol_corr[27, 13]",0.104,0.122,-0.133,0.326
